Year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,TFR
1986,148.2,303.5,318.8,286.0,222.1,111.1,26.9,7.1
1987,136.9,289.9,314.9,293.3,202.0,109.9,26.2,6.9
1988,126.4,271.0,301.1,273.0,216.0,113.1,23.4,6.6
1989,125.0,271.0,297.4,268.1,213.5,108.6,26.5,6.6
1990,109.6,266.9,291.1,271.4,208.7,110.7,27.3,6.4
1991,103.8,252.0,280.5,250.3,192.8,103.0,19.7,6.0
1992,95.0,233.3,247.9,218.8,165.2,80.5,18.1,5.3
1993,82.8,215.3,223.3,207.9,154.9,78.4,16.5,4.9
1994,80.1,199.1,212.4,173.7,128.2,66.4,14.6,4.4
1995,67.9,179.3,184.0,152.1,112.6,55.7,11.8,3.8
1996,60.3,162.5,162.9,137.3,93.6,44.1,10.1,3.4
1997,52.1,151.4,157.1,122.6,74.6,32.5,8.9,3.0
1998,46.9,130.6,143.0,103.6,70.1,33.1,7.5,2.7
1999,44.1,119.1,141.1,107.4,59.2,26.3,6.8,2.5
2000,40.0,118.0,137.2,99.0,59.5,19.2,5.3,2.4
